id,name,category,price
1,Product_1,Pants,92.55
2,Product_2,Shirts,43.11
3,Product_3,Jackets,59.02
4,Product_4,Shoes,49.65
5,Product_5,Pants,44.59
6,Product_6,Shoes,16.27
7,Product_7,Shirts,99.96
8,Product_8,Shirts,46.77
9,Product_9,Pants,32.68
10,Product_10,Pants,88.24
11,Product_11,Dresses,69.06
12,Product_12,Jackets,50.99
13,Product_13,Shoes,15.53
14,Product_14,Dresses,45.56
15,Product_15,Shirts,97.72
16,Product_16,Dresses,38.08
17,Product_17,Shirts,98.51
18,Product_18,Jackets,10.11
19,Product_19,Shirts,51.94
20,Product_20,Jackets,37.85
